genes,logFC.genotypenpr1.1,logFC.genotypenpr1.1.treatmenttreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT2G14560.1,-4.187741350812998,-0.7334263220704045,6.691528703165552,1327.075726006547,6.747883310017573e-289,1.133576917249852e-284,AT2G14560,LURP1,LATE UPREGULATED IN RESPONSE TO HYALOPERONOSPORA PARASITICA
AT5G35935.1,3.263283286558452,0.5168530808142237,4.763003158652575,1072.4414516304228,1.3252496441909442e-233,1.1131434386381835e-229,AT5G35935,NA,NA
AT1G21250.1,-2.010346063831122,-0.4884436603246195,7.193888115067502,659.437260009217,6.382905406301612e-144,3.57421426401536e-140,AT1G21250,AtWAK1;PRO25;WAK1,NA;NA;cell wall-associated kinase 1
AT1G35710.1,-2.250371332238545,-0.5250462149486128,7.511863762867935,624.4418644213603,2.5361328897170925e-136,1.065112410358936e-132,AT1G35710,NA,NA
AT3G02550.1,-3.151268138107787,0.8743101845449092,5.326434409306906,621.6957094621173,1.0011334650240099e-135,3.3636082157876685e-132,AT3G02550,LBD41,LOB domain-containing protein 41
AT5G12030.1,-0.20563216407463647,-6.73126300531711,3.89533731510115,594.5426538051247,7.883210042068227e-130,2.2071674249450694e-126,AT5G12030,AT-HSP17.6A;HSP17.6;HSP17.6A,heat shock protein 17.6A;HEAT SHOCK PROTEIN 17.6;heat shock protein 17.6A
AT1G13470.1,-3.6380486330394137,-1.5317732848090702,3.369537494437064,580.8856579203673,7.282526509868126e-127,1.747702326275352e-123,AT1G13470,NA,NA
AT5G54270.1,1.830885534564229,1.8188283836667507,9.402772595236241,570.9689577008031,1.0367311942676186e-124,2.177005916562716e-121,AT5G54270,LHCB3;LHCB3*1,light-harvesting chlorophyll B-binding protein 3;NA
AT2G34430.1,2.2287533688288113,1.9369117817421972,9.21506911650733,558.934134222371,4.2559339561118905e-122,7.943937169858184e-119,AT2G34430,LHB1B1;LHCB1.4,light-harvesting chlorophyll-protein complex II subunit B1;LIGHT-HARVESTING CHLOROPHYLL-PROTEIN COMPLEX II SUBUNIT B1
AT5G22570.1,-2.008984449767353,-3.4895378678355287,4.19090007240318,538.4526076300832,1.1926194008437431e-117,2.003481331477404e-114,AT5G22570,ATWRKY38;WRKY38,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38;WRKY DNA-binding protein 38
AT5G12020.1,0.006128289982495804,-7.9753111357418955,3.771293217428125,529.9366540837152,8.427867255913577e-116,1.2870885639281107e-112,AT5G12020,HSP17.6II,17.6 kDa class II heat shock protein
AT2G05100.1,2.4235200156488284,1.5728817077867707,7.047856896738013,521.171275440414,6.7467633158084e-114,9.444906411855444e-111,AT2G05100,LHCB2;LHCB2.1,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.1
AT3G42820.1,8.442367422178467,-0.44102541193446737,1.616914475044274,510.18654380577595,1.6383234288519922e-111,2.1170919447142013e-108,AT3G42820,NA,NA
AT3G54500.3,1.6212982387520618,0.7723819954161281,4.037636900847743,478.7608709149722,1.0924405323719914e-104,1.3108506073797917e-101,AT3G54500,LNK2,night light-inducible and clock-regulated 2
AT2G05070.1,2.264928642844417,1.7634184366010515,7.290863540202128,451.2999661916579,1.0033616553195548e-98,1.1236981631808802e-95,AT2G05070,LHCB2;LHCB2.2,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.2
AT5G03350.1,-3.091555322714523,-1.3758867210727967,6.494750212482219,450.3853457719853,1.5851296901554498e-98,1.6642871040575875e-95,AT5G03350,NA,NA
AT3G10040.1,-3.165964828742494,1.24019290637143,5.188573557562232,450.2239023788654,1.7183902028304613e-98,1.698072765726407e-95,AT3G10040,HRA1,HYPOXIA RESPONSE ATTENUATOR1
AT5G24470.1,1.0897850698888956,1.3441268713635228,5.775946173608815,444.3552024756084,3.2321669111225056e-97,3.0165095522192765e-94,AT5G24470,APRR5;PRR5,pseudo-response regulator 5;pseudo-response regulator 5
AT4G33560.1,-3.3488532932890354,0.8693769364363049,5.4169641825992905,416.3809355292901,3.8373257235103206e-91,3.3928018331184146e-88,AT4G33560,NA,NA
AT3G55920.1,-4.823979133563583,-0.1829896009736015,1.9799031400430427,416.1670650848169,4.270414606422504e-91,3.5869347486645826e-88,AT3G55920,NA,NA
AT3G04210.1,-2.273525435511096,0.7869605460625487,6.5178950880850826,392.9133451191126,4.7857628521355025e-86,3.828382388239253e-83,AT3G04210,TN13,"NA"
AT5G02810.1,1.2570930556862032,1.33240816899427,6.10902832219933,385.45259164068625,1.99541488505997e-84,1.5236806660964745e-81,AT5G02810,APRR7;PRR7,NA;pseudo-response regulator 7
AT1G43800.1,-3.0832515787942345,0.6563321002508324,6.923511269565513,381.50170891572304,1.438654440809141e-83,1.0507806935283808e-80,AT1G43800,AAD6;FTM1;SAD6,ACYL?ACYL CARRIER PROTEIN (ACP) DESATURASE 6;FLORAL TRANSITION AT THE MERISTEM1;STEAROYL-ACYL CARRIER PROTEIN &#916;9-DESATURASE6
AT3G22235.1,-3.409843786427972,-1.007517025515992,7.849537834803217,379.8758461725993,3.243456662378308e-83,2.2702845196372167e-80,AT3G22235,AthCYSTM8,Cysteine-Rich Transmembrane Module 8
AT1G07400.1,0.41560121474449924,-7.019395800071629,5.405891137305998,376.74769719026017,1.5498048664322542e-82,1.0414068780478175e-79,AT1G07400,NA,NA
AT5G45820.1,4.0032798593218,2.1592629935811405,2.7370939278675825,372.5427972919592,1.268701436643323e-81,8.1972751669889175e-79,AT5G45820,CIPK20;PKS18;SnRK3.6,CBL-interacting protein kinase 20;PROTEIN KINASE 18;SNF1-RELATED PROTEIN KINASE 3.6
AT3G28510.1,-0.09116068805605812,-3.317517163330814,3.3581738699420383,369.2288854199016,6.652214605205068e-81,4.138909376031109e-78,AT3G28510,NA,NA
AT1G29920.1,2.3914144458128805,3.0411571934966215,8.057240583554567,364.9812632493869,5.563212976505868e-80,3.337729099725788e-77,AT1G29920,AB165;CAB2;LHCB1.1,NA;chlorophyll A/B-binding protein 2;LIGHT HARVESTING CHLOROPHYLL A/B-BINDING PROTEIN 1.1
AT1G29910.1,1.722446979178798,1.408020613260202,10.062995094505288,362.90470653248707,1.571246228004827e-79,9.101850132501065e-77,AT1G29910,AB180;CAB3;LHCB1.2,NA;chlorophyll A/B binding protein 3;LIGHT HARVESTING CHLOROPHYLL A/B BINDING PROTEIN 1.2
AT3G21720.1,-2.6996072688773056,0.23789765995515752,3.724082860742995,362.72243422382144,1.7211716221840245e-79,9.637987360356476e-77,AT3G21720,ICL,isocitrate lyase
AT1G68050.1,1.0927757195421155,0.8165976961162441,4.873226340474783,358.30909467552607,1.5637548991950557e-78,8.474038242444433e-76,AT1G68050,ADO3;FKF1,"NA;flavin-binding, kelch repeat, f box 1"
AT5G28335.1,3.8918211948433283,0.11040337104649439,2.3561882589934373,358.08842949656315,1.7461659614096756e-78,9.166825620537856e-76,AT5G28335,NA,NA
AT4G24110.1,-3.0523056965917164,0.8520907497726214,4.5693089544453,351.41939198324883,4.900592758472995e-77,2.49469871968448e-74,AT4G24110,NA,NA
AT2G40750.1,-1.1768237461429745,-2.452571097878627,5.543242533248298,348.80767813327543,1.808735533578041e-76,8.936749478993385e-74,AT2G40750,ATWRKY54;WRKY54,WRKY DNA-BINDING PROTEIN 54;WRKY DNA-binding protein 54
AT1G63980.1,-1.6857070245088903,0.3307653768159716,6.386770311974968,347.95281814374755,2.7733556019268354e-76,1.3311314501933974e-73,AT1G63980,NA,NA
AT1G53480.1,-4.938709859104468,-1.4689355316812245,1.9982077811630454,342.89796206104813,3.4725908014471104e-75,1.6204459131530558e-72,AT1G53480,ATMRD1;MRD1,ARABIDOPSIS MTO 1 RESPONDING DOWN 1;MTO 1 RESPONDING DOWN 1
AT2G46440.1,-1.5912332923491985,0.062441898902118584,5.869546493009476,337.3777399291152,5.487248341340964e-74,2.491359050978023e-71,AT2G46440,ATCNGC11;CNGC11,cyclic nucleotide-gated channel 11;CYCLIC NUCLEOTIDE-GATED CHANNEL 11
AT3G22231.1,-3.9484331862568136,-1.381481968022752,8.301844791290252,336.191749432228,9.928626650743796e-74,4.389236818574869e-71,AT3G22231,PCC1,PATHOGEN AND CIRCADIAN CONTROLLED 1
AT2G24600.3,-2.8710220049803716,2.2042208609194494,6.2604187854057,333.0580408230941,4.7573527901469254e-73,2.0491992185045692e-70,AT2G24600,NA,NA
AT5G28370.1,-9.448698763162636,2.2584736778109926,1.5922158526922328,332.085638373738,7.736060677904756e-73,3.24895208320305e-70,AT5G28370,NA,NA
AT3G27690.1,1.8803205844332778,1.6417547772633796,5.605706140890817,322.07126164833875,1.156416136811648e-70,4.738203581048506e-68,AT3G27690,LHCB2;LHCB2.3;LHCB2.4,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.3;NA
AT5G24530.1,-0.19728189358324472,-2.586243405475633,6.700971095913431,312.9651932547847,1.0976699393390649e-68,4.390418407370703e-66,AT5G24530,AtDMR6;DMR6,NA;DOWNY MILDEW RESISTANT 6
AT2G41100.1,-3.074987161438962,2.3066946941341464,8.893559947904434,310.61990160115437,3.5460543087033825e-68,1.3853527053932122e-65,AT2G41100,ATCAL4;CML12;TCH3,ARABIDOPSIS THALIANA CALMODULIN LIKE 4;calmodulin-like 12;TOUCH 3
AT1G24147.1,-1.9238516832139587,-0.5155301329233172,4.019040073065226,307.6395098146031,1.5737264205593487e-67,6.008415940676477e-65,AT1G24147,NA,NA
AT5G10760.1,-1.0713218678402519,-2.673049676542804,4.5749396363319965,302.6558247880946,1.9016154153750196e-66,7.098941636196656e-64,AT5G10760,AED1,"APOPLASTIC, EDS1-DEPENDENT 1"
AT2G20560.1,-0.27143805201198257,-3.5263996178095907,5.11819383296346,291.30538724784833,5.5441999524405785e-64,2.024717717414115e-61,AT2G20560,NA,NA
AT5G51440.1,-0.8642414386576214,-3.765950258727876,5.3437508620104985,290.2575250462958,9.362229236929395e-64,3.346299764918658e-61,AT5G51440,NA,NA
AT5G66985.1,-2.5442074003822333,0.3829851907012693,5.234956891400228,289.68634549502997,1.245688153698448e-63,4.3596490195792146e-61,AT5G66985,NA,NA
AT3G54890.1,1.3273195463686027,1.2327468063148166,10.48212121056856,288.8511217642242,1.8913672429634456e-63,6.484301696845494e-61,AT3G54890,LHCA1,photosystem I light harvesting complex gene 1
AT1G14880.1,-0.9118699258450473,-4.32212492245799,3.3438561774122344,283.9583350632156,2.183891187401331e-62,7.337437611430993e-60,AT1G14880,AtPCR1;PCR1,NA;PLANT CADMIUM RESISTANCE 1
AT3G08970.1,-0.3315047267052516,-3.38700853035295,3.3917254621341075,279.87396351558436,1.6832204868288116e-61,5.54439626632102e-59,AT3G08970,ATERDJ3A;TMS1,NA;THERMOSENSITIVE MALE STERILE 1
AT5G02490.1,0.3227987241461262,-3.1591857094087414,7.139228822056834,277.88586079067943,4.5483306580266466e-61,1.4693732062344162e-58,AT5G02490,AtHsp70-2;Hsp70-2,NA;NA
AT4G12400.2,-0.7646891834202435,-3.9143019573159323,6.65881137202805,276.1341319296526,1.0920313817940674e-60,3.461327392973309e-58,AT4G12400,Hop3,Hop3
AT3G47470.1,1.187020089679899,1.6939289577303922,9.996015678683248,271.6931811869761,1.0059475097814297e-59,3.129428188299674e-57,AT3G47470,CAB4;LHCA4,NA;light-harvesting chlorophyll-protein complex I subunit A4
AT4G23220.1,-1.95056590800478,0.05382022435396392,5.38965671767177,271.1749562742889,1.3034861766028743e-59,3.981320778318488e-57,AT4G23220,CRK14,cysteine-rich RLK (RECEPTOR-like protein kinase) 14
