genes,logFC.genotypenpr4.4D,logFC.genotypenpr4.4D.treatmenttreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT5G35935.1,3.0373499684926806,0.6319538135373526,4.763003158652575,966.2225993265082,1.539672706352247e-210,2.5864961794011396e-206,AT5G35935,NA,NA
AT5G65080.1,-3.307331817933444,0.357944808792007,3.103111772125064,462.6758878324963,3.397875815225969e-101,2.8540457909990525e-97,AT5G65080,AGL68;MAF5,AGAMOUS-like 68;MADS AFFECTING FLOWERING 5
AT3G55920.1,-5.457545738346709,-0.17835725470199362,1.9799031400430427,454.4548676689493,2.0719503710944183e-99,1.1602231428005045e-95,AT3G55920,NA,NA
AT1G53480.1,-7.406697666235227,-3.700107377283525,1.9982077811630454,424.48362848402394,6.67653677621548e-93,2.8039785325910964e-89,AT1G53480,ATMRD1;MRD1,ARABIDOPSIS MTO 1 RESPONDING DOWN 1;MTO 1 RESPONDING DOWN 1
AT3G28510.1,-2.973523459717375,-0.29708373953706374,3.3581738699420383,393.086785819873,4.3882261858968376e-86,1.4743562339376195e-82,AT3G28510,NA,NA
AT2G14560.1,-1.4194402581976473,-0.6990266555372295,6.691528703165552,283.5892372170689,2.6265131211981243e-62,7.353798987167882e-59,AT2G14560,LURP1,LATE UPREGULATED IN RESPONSE TO HYALOPERONOSPORA PARASITICA
AT1G45201.1,-2.504856524774667,0.894460860086213,6.302549877889893,280.4982284325674,1.2319231148090429e-61,2.9564394865253014e-58,AT1G45201,ATTLL1;TLL1,ARABIDOPSIS THALIANA TRIACYLGLYCEROL LIPASE-LIKE 1;triacylglycerol lipase-like 1
AT2G46440.1,-1.1034792654337484,-0.23340132665347657,5.869546493009476,221.12477402370146,9.624217179416133e-49,2.0209653049626452e-45,AT2G46440,ATCNGC11;CNGC11,cyclic nucleotide-gated channel 11;CYCLIC NUCLEOTIDE-GATED CHANNEL 11
AT5G22570.1,-3.039466066937182,0.43806997143218185,4.19090007240318,208.20451155744027,6.151269596732156e-46,1.1481686439500389e-42,AT5G22570,ATWRKY38;WRKY38,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38;WRKY DNA-binding protein 38
AT5G60900.1,-1.8425641614332449,-0.48546629438110117,2.7776358512056065,190.34913902725305,4.6367068892574975e-42,7.789203903263671e-39,AT5G60900,RLK1,receptor-like protein kinase 1
AT1G24147.1,-0.8539161313983739,-1.1934805611501835,4.019040073065226,189.13781623365006,8.496597497326494e-42,1.2975849214326163e-38,AT1G24147,NA,NA
AT1G13470.1,-0.6837104901455112,-1.566291987001986,3.369537494437064,169.29541595129308,1.7296869962774196e-37,2.4214176542053645e-34,AT1G13470,NA,NA
AT1G35710.1,-1.0251873264338778,-0.3616699219723509,7.511863762867935,162.6472431164335,4.803965821348578e-36,6.207832448679597e-33,AT1G35710,NA,NA
AT5G55450.1,-1.2618054152761997,-0.18094877223179515,5.193509342158983,161.59370162737298,8.135299320044502e-36,9.761778091244828e-33,AT5G55450,AtLTP4.4,"NA"
AT1G21250.1,-0.6868102506803152,-0.6366047405651103,7.193888115067502,161.09444677589866,1.0442039939138714e-35,1.1694388595839418e-32,AT1G21250,AtWAK1;PRO25;WAK1,NA;NA;cell wall-associated kinase 1
AT1G53490.1,-1.710506327688178,-0.3590952225798607,2.4259212778877317,151.44467498264052,1.3007884459188405e-33,1.3657465689369126e-30,AT1G53490,HEI10,homolog of human HEI10 ( Enhancer of cell Invasion No.10)
AT1G65970.1,-1.2408362673280535,-0.13562467213842896,5.0619767032151115,138.6944601470638,7.636258890903824e-31,7.545971359311373e-28,AT1G65970,TPX2,thioredoxin-dependent peroxidase 2
AT1G73805.1,-1.7385897245402249,-1.170078571527359,3.797626409461829,137.9722374292269,1.0957445375805765e-30,1.0226340270453392e-27,AT1G73805,SARD1,SAR Deficient 1
AT5G38910.1,-0.6249754331451377,-2.3181048924691576,2.1180792557116033,132.6065995422278,1.6026650914843103e-29,1.417008993254996e-26,AT5G38910,NA,NA
AT2G40750.1,-1.1395567453691364,-0.7319972245240424,5.543242533248298,130.47323795829726,4.656894071585306e-29,3.911558175428078e-26,AT2G40750,ATWRKY54;WRKY54,WRKY DNA-BINDING PROTEIN 54;WRKY DNA-binding protein 54
AT2G25510.1,-1.182965964869383,-0.7843300436684273,8.657880654467847,128.08111657815203,1.5400645247825862e-28,1.231978283420127e-25,AT2G25510,NA,NA
AT5G24530.1,-0.8391531412196823,-0.605469606582151,6.700971095913431,119.74522544074212,9.946142528948023e-27,7.594784015627174e-24,AT5G24530,AtDMR6;DMR6,NA;DOWNY MILDEW RESISTANT 6
AT4G21380.1,-1.4216998497796112,0.284592655252266,4.666873846779839,118.49460168550249,1.858763673576108e-26,1.3576248240176107e-23,AT4G21380,ARK3;RK3,receptor kinase 3;receptor kinase 3
AT4G03450.1,-0.1701207791372475,-2.1985033075908036,3.021772396996075,113.33939223651527,2.447167434687442e-25,1.712915238971431e-22,AT4G03450,NA,NA
AT3G11010.1,-0.6640049406536032,-1.3221816026160365,6.228646079363452,97.97629001073017,5.30540992490038e-22,3.56502325313606e-19,AT3G11010,AtRLP34;RLP34,receptor like protein 34;receptor like protein 34
AT2G45660.1,0.8342817187446953,-0.09933172993812954,5.395926682486099,96.62022988540491,1.0451621179436658e-21,6.752953238206016e-19,AT2G45660,AGL20;ATSOC1;SOC1,AGAMOUS-like 20;SUPPRESSOR OF OVEREXPRESSION OF CO 1;SUPPRESSOR OF OVEREXPRESSION OF CO 1
