genes,logFC.genotypenpr4.4D,logFC.genotypenpr4.4D.treatmenttreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT5G35935.1,3.0417641088358875,0.6276974101051502,4.762941215287427,903.9998034360752,4.999618461334313e-197,1.6799717953775558e-192,AT5G35935,NA,NA
AT3G55920.1,-5.454117810422395,-0.18250240126228706,1.9796432606767085,459.3380319250238,1.8030746325312906e-100,3.0293456901158215e-96,AT3G55920,NA,NA
AT5G65080.1,-3.3036710620552405,0.3539394393243665,3.10276281698961,443.6889737277137,4.50986471578908e-97,5.051349139331489e-93,AT5G65080,AGL68;MAF5,AGAMOUS-like 68;MADS AFFECTING FLOWERING 5
AT1G53480.1,-7.403766705516333,-3.7003021554696636,1.9978823385304914,432.3271918489044,1.3223398975762637e-94,1.1108316309589403e-90,AT1G53480,ATMRD1;MRD1,ARABIDOPSIS MTO 1 RESPONDING DOWN 1;MTO 1 RESPONDING DOWN 1
AT3G28510.1,-2.9701413456145045,-0.3005673057638277,3.356334384068938,371.8060432593326,1.8337643993516355e-81,1.232363026940273e-77,AT3G28510,NA,NA
AT1G45201.1,-2.501263589346306,0.8905791085058311,6.301904783739965,288.26491806287044,2.535527816962651e-63,1.4199800950929832e-59,AT1G45201,ATTLL1;TLL1,ARABIDOPSIS THALIANA TRIACYLGLYCEROL LIPASE-LIKE 1;triacylglycerol lipase-like 1
AT2G14560.1,-1.415835953300952,-0.7027695933453615,6.69021640915796,276.85244178899416,7.62528560465125e-61,3.660354955535591e-57,AT2G14560,LURP1,LATE UPREGULATED IN RESPONSE TO HYALOPERONOSPORA PARASITICA
AT5G22570.1,-3.03593891186912,0.43424986173356867,4.18839392692568,210.71578081520823,1.752465879499558e-46,7.36079481036802e-43,AT5G22570,ATWRKY38;WRKY38,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38;WRKY DNA-binding protein 38
AT2G46440.1,-1.0996633029623617,-0.23719849425816064,5.868410556181263,208.5851972851695,5.085104780763146e-46,1.898552120480036e-42,AT2G46440,ATCNGC11;CNGC11,cyclic nucleotide-gated channel 11;CYCLIC NUCLEOTIDE-GATED CHANNEL 11
AT5G60900.1,-1.838835770029833,-0.4890500917336947,2.7761979847201914,186.83988259070213,2.680618408661643e-41,9.007413976784852e-38,AT5G60900,RLK1,receptor-like protein kinase 1
AT4G08093.1,-6.568669775280564,1.2743899251802424,0.051654451305317636,185.9985191262118,4.0825804415049477e-41,1.2471169817768113e-37,AT4G08093,NA,NA
