genes,logFC,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT5G12030.1,8.572498507132854,3.892456557606553,675.1572379841397,7.552057292721371e-149,2.5376422915002352e-144,AT5G12030,AT-HSP17.6A;HSP17.6;HSP17.6A,heat shock protein 17.6A;HEAT SHOCK PROTEIN 17.6;heat shock protein 17.6A
AT1G09932.1,4.000281487377338,4.598311458361819,592.2946636661169,7.939422887947309e-131,1.3339024394040273e-126,AT1G09932,NA,NA
AT5G22570.1,6.1612373788194805,4.18839392692568,588.334577340041,5.769824237321854e-130,6.462587800749631e-126,AT5G22570,ATWRKY38;WRKY38,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38;WRKY DNA-binding protein 38
AT4G23220.1,3.8545196891191345,5.387682850897625,585.9375359496865,1.9167127865703343e-129,1.590528525869417e-125,AT4G23220,CRK14,cysteine-rich RLK (RECEPTOR-like protein kinase) 14
AT5G12020.1,9.644858338107467,3.768551701090657,585.5164680860634,2.3667170493860736e-129,1.590528525869417e-125,AT5G12020,HSP17.6II,17.6 kDa class II heat shock protein
AT3G28510.1,4.91952850694667,3.356334384068938,545.9278015056456,9.679762331868201e-121,5.420989564590588e-117,AT3G28510,NA,NA
AT4G23570.3,3.3384264942542288,6.696750090987465,539.2257461045909,2.778881524141693e-119,1.3339425282029884e-115,AT4G23570,SGT1A,"NA"
AT5G24530.1,3.8244361839244823,6.698524933529247,534.9036925321383,2.421771164943861e-118,1.0172044335555451e-114,AT5G24530,AtDMR6;DMR6,NA;DOWNY MILDEW RESISTANT 6
AT5G02490.1,4.143412413820785,7.136806220801563,522.7514548885338,1.066422879997597e-115,3.9815490681865837e-112,AT5G02490,AtHsp70-2;Hsp70-2,NA;NA
AT1G21250.1,2.8715325709140425,7.192089265412023,511.2275042761309,3.42882646238275e-113,1.1521542678898516e-109,AT1G21250,AtWAK1;PRO25;WAK1,NA;NA;cell wall-associated kinase 1
AT1G07400.1,8.100478165872396,5.403046190562086,503.12060429327937,1.990645689575587e-111,6.080879678283534e-108,AT1G07400,NA,NA
AT1G13470.1,4.934878696677267,3.3677794080679115,490.6872257815883,1.0099033841901538e-108,2.8278977929631287e-105,AT1G13470,NA,NA
AT2G13790.1,2.954066440264678,7.297041951594204,488.53371800519324,2.970703729885501e-108,7.678583594739431e-105,AT2G13790,ATSERK4;BAK7;BKK1;SERK4,SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 4;BRI1-  ASSOCIATED KINASE 7;BAK1-LIKE 1;somatic embryogenesis receptor-like kinase 4
AT2G29120.1,3.21176994178317,5.285766710747359,478.92800395372126,3.656016546556435e-106,8.774961999813525e-103,AT2G29120,ATGLR2.7;GLR2.7;GLR2.7,glutamate receptor 2.7;GLUTAMATE RECEPTOR  2.7;glutamate receptor 2.7
AT3G62550.1,-3.859311109745052,6.604172662222791,459.9792456058598,4.857443761777052e-102,1.0881321685548833e-98,AT3G62550,NA,NA
AT1G35710.1,3.007096096349417,7.509790487009673,443.59547476352975,1.7862386772848942e-98,3.751324502132938e-95,AT1G35710,NA,NA
AT2G26150.1,7.254082085610951,5.46625037487688,439.7593213189957,1.2213136376994748e-97,2.414034167881044e-94,AT2G26150,ATHSFA2;HSFA2,heat shock transcription factor A2;heat shock transcription factor A2
AT5G08760.1,2.911682340222054,5.377101115261123,439.1196657109837,1.6828341548168516e-97,3.1414774038975474e-94,AT5G08760,NA,NA
AT5G49740.1,-2.903527004424128,4.661361068960337,393.5544744651296,1.3933901801903897e-87,2.464247201829341e-84,AT5G49740,ATFRO7;FRO7,FERRIC REDUCTION OXIDASE 7;ferric reduction oxidase 7
AT4G03450.1,5.668180996533537,3.0197281689728888,389.42017009230705,1.1068968991162352e-86,1.8596974802051865e-83,AT4G03450,NA,NA
