genes,logFC,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT5G12030.1,8.576730593323129,3.89533731510115,661.9989767303185,5.490431997043548e-146,9.223376711833457e-142,AT5G12030,AT-HSP17.6A;HSP17.6;HSP17.6A,heat shock protein 17.6A;HEAT SHOCK PROTEIN 17.6;heat shock protein 17.6A
AT1G09932.1,4.006150908924961,4.599999641626128,613.2982147696564,2.144784822291899e-135,1.8015120114840806e-131,AT1G09932,NA,NA
AT4G23220.1,3.8605844845789634,5.38965671767177,585.5197409000485,2.362840722845694e-129,1.3231120434361604e-125,AT4G23220,CRK14,cysteine-rich RLK (RECEPTOR-like protein kinase) 14
AT5G22570.1,6.1671161789150775,4.19090007240318,582.1657134355456,1.2676386694973395e-128,5.323765502221451e-125,AT5G22570,ATWRKY38;WRKY38,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38;WRKY DNA-binding protein 38
AT3G28510.1,4.925508985024213,3.3581738699420383,578.1523764200244,9.461882683593517e-128,3.17900334403375e-124,AT3G28510,NA,NA
AT5G12020.1,9.649079500805486,3.771293217428125,568.5208783156537,1.1777853029003186e-125,3.297602550570409e-122,AT5G12020,HSP17.6II,17.6 kDa class II heat shock protein
AT4G23570.3,3.3444314883180217,6.698504979418052,563.0787849257016,1.7983863742797387e-124,4.31587038593219e-121,AT4G23570,SGT1A,"NA"
AT1G21250.1,2.8773531401876977,7.193888115067502,539.4013177961159,2.5449232600938295e-119,5.34402073078953e-116,AT1G21250,AtWAK1;PRO25;WAK1,NA;NA;cell wall-associated kinase 1
AT5G24530.1,3.8307460044574886,6.700971095913431,528.9068883517501,4.8838425285332515e-117,9.115963404092232e-114,AT5G24530,AtDMR6;DMR6,NA;DOWNY MILDEW RESISTANT 6
AT2G13790.1,2.9598032859464976,7.298367189720597,512.095384969952,2.21983506679315e-113,3.7291009287058126e-110,AT2G13790,ATSERK4;BAK7;BKK1;SERK4,SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 4;BRI1-  ASSOCIATED KINASE 7;BAK1-LIKE 1;somatic embryogenesis receptor-like kinase 4
AT5G02490.1,4.149803983292237,7.139228822056834,511.4992647176903,2.992392247849547e-113,4.569927033784049e-110,AT5G02490,AtHsp70-2;Hsp70-2,NA;NA
AT1G13470.1,4.940667420454849,3.369537494437064,506.050062546216,4.587905344086004e-112,6.422685156275065e-109,AT1G13470,NA,NA
AT2G29120.1,3.2175570312310966,5.28762139558695,486.9537404538719,6.556131728346956e-108,8.47203514650004e-105,AT2G29120,ATGLR2.7;GLR2.7;GLR2.7,glutamate receptor 2.7;GLUTAMATE RECEPTOR  2.7;glutamate receptor 2.7
AT3G62550.1,-3.853949401890923,6.602429233633458,462.80825116088175,1.176986039993812e-102,1.4122991775611463e-99,AT3G62550,NA,NA
AT1G07400.1,8.10335871735732,5.405891137305998,457.923923612981,1.3604529934709917e-101,1.5236166558212794e-98,AT1G07400,NA,NA
AT5G08760.1,2.9172448449544772,5.3784906581989045,456.7473414171332,2.4531909502845034e-101,2.5756971733643358e-98,AT5G08760,NA,NA
AT1G35710.1,3.0130159149207634,7.511863762867935,448.83967759309746,1.290133222475357e-99,1.2748792943743248e-96,AT1G35710,NA,NA
AT5G49740.1,-2.897947512922281,4.66029867458435,420.6654966704218,1.7482088560051629e-93,1.6315644762239296e-90,AT5G49740,ATFRO7;FRO7,FERRIC REDUCTION OXIDASE 7;ferric reduction oxidase 7
AT2G26150.1,7.25706028385366,5.468707048767031,401.6234585865285,2.4407870732374385e-89,2.158041160174512e-86,AT2G26150,ATHSFA2;HSFA2,heat shock transcription factor A2;heat shock transcription factor A2
AT1G76040.2,2.40208687375396,5.799819903065068,386.49844025795494,4.788282525924901e-86,4.021917907650621e-83,AT1G76040,CPK29,calcium-dependent protein kinase 29
AT4G03450.1,5.674291245088697,3.021772396996075,377.57708442505896,4.1924937294724285e-84,3.3537953410193967e-81,AT4G03450,NA,NA
AT1G34750.1,2.4013094806645823,5.220985988475587,371.0381184808316,1.1121525957968148e-82,8.492296116723041e-80,AT1G34750,CIPP1,CERK-1 interacting protein phosphatase 1
AT3G28080.1,-3.153357960906087,4.103987836000233,350.5346041031836,3.2413224642362897e-78,2.367433742465454e-75,AT3G28080,UMAMIT47,Usually multiple acids move in and out Transporters 47
AT3G45780.1,-2.4083464971897097,7.526137354631732,337.4239272550635,2.322199889629798e-75,1.6254431644121239e-72,AT3G45780,JK224;NPH1;PHOT1;RPT1,NA;NONPHOTOTROPIC HYPOCOTYL 1;phototropin 1;ROOT PHOTOTROPISM 1
AT1G14880.1,6.145751878443918,3.3438561774122344,332.66544791615433,2.524969916023592e-74,1.696678784771213e-71,AT1G14880,AtPCR1;PCR1,NA;PLANT CADMIUM RESISTANCE 1
AT2G46440.1,2.0883772845221396,5.869546493009476,323.79422917562454,2.1599860303462386e-72,1.3956002047610177e-69,AT2G46440,ATCNGC11;CNGC11,cyclic nucleotide-gated channel 11;CYCLIC NUCLEOTIDE-GATED CHANNEL 11
AT5G52640.1,6.2779643421290725,8.59013751200837,315.4937367470029,1.3883034551352094e-70,8.637818423265327e-68,AT5G52640,ATHS83;AtHsp90-1;ATHSP90.1;HSP81-1;HSP81.1;HSP83;HSP90.1,NA;HEAT SHOCK PROTEIN 90-1;heat shock protein 90.1;HEAT SHOCK PROTEIN 81-1;NA;HEAT SHOCK PROTEIN 83;heat shock protein 90.1
AT1G24147.1,2.9663029733254125,4.019040073065226,314.69949872764226,2.067735215213674e-70,1.2405672814419466e-67,AT1G24147,NA,NA
AT2G20560.1,3.984013145891145,5.11819383296346,311.7540253110128,9.059943835200018e-70,5.2482067754318996e-67,AT2G20560,NA,NA
AT4G23200.1,4.039792389760651,4.113974040156208,306.90234278439317,1.032854719642556e-68,5.783642145091767e-66,AT4G23200,CRK12,cysteine-rich RLK (RECEPTOR-like protein kinase) 12
AT2G40750.1,3.5356451138773393,5.543242533248298,302.4887657386522,9.452800166717284e-68,5.122502903247859e-65,AT2G40750,ATWRKY54;WRKY54,WRKY DNA-BINDING PROTEIN 54;WRKY DNA-binding protein 54
AT5G10695.1,2.5524796275437756,3.5654849722858013,300.1038415313156,3.12714350158098e-67,1.64165261509559e-64,AT5G10695,NA,NA
AT2G41110.2,2.237777427454602,6.297240056742243,283.548496705571,1.2657102158660886e-63,6.443232095858917e-61,AT2G41110,ATCAL5;CAM2,NA;calmodulin 2
AT5G49730.1,-3.53669191619892,5.7557129827698965,283.04150474346505,1.6323455784758096e-63,8.065227462592684e-61,AT5G49730,ATFRO6;FRO6;FRO6,ferric reduction oxidase 6;NA;ferric reduction oxidase 6
AT2G15890.1,-2.9391529199507547,7.767214157060968,281.522441700251,3.498105242698339e-63,1.6789905706311257e-60,AT2G15890,CBP1;MEE14,CCG-BINDING PROTEIN 1;maternal effect embryo arrest 14
AT3G13750.1,-2.2777335633843108,8.897061738696827,280.56647457599877,5.651346714407955e-63,2.637138151537201e-60,AT3G13750,BGAL1;BGAL1,beta galactosidase 1;beta-galactosidase 1
AT5G05410.1,2.893481467670047,3.872107379329616,280.3796091199237,6.206874031693937e-63,2.818088563741255e-60,AT5G05410,DREB2;DREB2A,DEHYDRATION-RESPONSIVE ELEMENT BINDING PROTEIN 2;DRE-binding protein 2A
AT1G71000.1,7.046848837084732,1.3538590564357667,276.14172226989746,5.204778016143277e-62,2.3009227866629185e-59,AT1G71000,NA,NA
AT3G11010.1,3.8038576860337736,6.228646079363452,275.3456227808035,7.760603199480794e-62,3.342830080719945e-59,AT3G11010,AtRLP34;RLP34,receptor like protein 34;receptor like protein 34
AT2G24600.3,2.2680696220628205,6.2604187854057,275.10941783356895,8.73718960262977e-62,3.669401203364438e-59,AT2G24600,NA,NA
AT2G47730.1,2.162621639776217,9.587147034395569,273.51780490359556,1.9419454283618155e-61,7.956766158792717e-59,AT2G47730,ATGSTF5;ATGSTF8;GST6;GSTF8,GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5;Arabidopsis thaliana glutathione S-transferase phi 8;NA;glutathione S-transferase phi 8
