genes,logFC.genotypenpr1.1,logFC.genotypenpr1.1.treatmentuntreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT2G14560.1,-4.921167672884669,0.7334263219024479,6.691528703228717,1327.0755995943018,6.748309831036612e-289,1.1336485685158406e-284,AT2G14560,LURP1,LATE UPREGULATED IN RESPONSE TO HYALOPERONOSPORA PARASITICA
AT5G35935.1,3.7801363673794404,-0.5168530807888738,4.763003158521621,1072.4414468702362,1.3252527984124867e-233,1.1131460880265683e-229,AT5G35935,NA,NA
AT1G21250.1,-2.4987897237740206,0.4884436594072506,7.193888115146365,659.437999007983,6.380547362366967e-144,3.572893838013423e-140,AT1G21250,AtWAK1;PRO25;WAK1,NA;NA;cell wall-associated kinase 1
AT1G35710.1,-2.7754175471457576,0.5250462149426739,7.511863762932458,624.4418695671305,2.5361263645468693e-136,1.0651096699505714e-132,AT1G35710,NA,NA
AT3G02550.1,-2.2769579535580013,-0.874310184621861,5.326434409063812,621.6957108106872,1.0011327899750253e-135,3.36360594775809e-132,AT3G02550,LBD41,LOB domain-containing protein 41
AT5G12030.1,-6.936895169390363,6.731263005338558,3.895337315048155,594.5426537630897,7.8832102077537e-130,2.2071674713342404e-126,AT5G12030,AT-HSP17.6A;HSP17.6;HSP17.6A,heat shock protein 17.6A;HEAT SHOCK PROTEIN 17.6;heat shock protein 17.6A
AT1G13470.1,-5.169821917861812,1.5317732848476724,3.369537494844286,580.8856625234473,7.2825097488612965e-127,1.7476983038731558e-123,AT1G13470,NA,NA
AT5G54270.1,3.6497139168239765,-1.8188283825700429,9.402772595236954,570.9702578279724,1.0360574720760032e-124,2.175591184175597e-121,AT5G54270,LHCB3;LHCB3*1,light-harvesting chlorophyll B-binding protein 3;NA
AT2G34430.1,4.165665150473872,-1.9369117815960555,9.21506911650623,558.9342923075243,4.2555975694205226e-122,7.943309285410596e-119,AT2G34430,LHB1B1;LHCB1.4,light-harvesting chlorophyll-protein complex II subunit B1;LIGHT-HARVESTING CHLOROPHYLL-PROTEIN COMPLEX II SUBUNIT B1
AT5G22570.1,-5.49852232126748,3.489537871561563,4.190900072570461,538.4538618956631,1.1918717045884922e-117,2.0022252765382083e-114,AT5G22570,ATWRKY38;WRKY38,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38;WRKY DNA-binding protein 38
AT5G12020.1,-7.96918284576178,7.975311135658967,3.7712932174010314,529.936649485215,8.427886633710713e-116,1.287091523270057e-112,AT5G12020,HSP17.6II,17.6 kDa class II heat shock protein
AT2G05100.1,3.996401723375591,-1.5728817077938326,7.0478568967164525,521.171262452978,6.746807127528969e-114,9.444967744613263e-111,AT2G05100,LHCB2;LHCB2.1,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.1
AT3G42820.1,8.001342010263327,0.4410254119043091,1.6169144758498692,510.18654579193037,1.6383218018711435e-111,2.117089842279488e-108,AT3G42820,NA,NA
AT3G54500.3,2.393680234163201,-0.7723819954223852,4.037636900995706,478.76085135760337,1.0924512150554309e-104,1.3108634258368701e-101,AT3G54500,LNK2,night light-inducible and clock-regulated 2
AT2G05070.1,4.028347079114903,-1.763418436440468,7.290863540176732,451.29998938576944,1.003350019345962e-98,1.1236851316661879e-95,AT2G05070,LHCB2;LHCB2.2,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.2
AT5G03350.1,-4.467442043151263,1.375886719470452,6.494750212571052,450.38534111957716,1.5851333774948955e-98,1.6642909755335467e-95,AT5G03350,NA,NA
AT3G10040.1,-1.9257719223738174,-1.240192906546686,5.188573557301688,450.22390170299616,1.7183907835340795e-98,1.698073339564059e-95,AT3G10040,HRA1,HYPOXIA RESPONSE ATTENUATOR1
AT5G24470.1,2.433911941251937,-1.3441268713634738,5.775946173620017,444.3552020823996,3.232167546580771e-97,3.016510145278354e-94,AT5G24470,APRR5;PRR5,pseudo-response regulator 5;pseudo-response regulator 5
AT4G33560.1,-2.479476356836972,-0.8693769364761473,5.416964182508441,416.38093292018095,3.8373307295144603e-91,3.3928062592164955e-88,AT4G33560,NA,NA
AT3G55920.1,-5.006968734491712,0.1829896009481117,1.9799031415574229,416.1670659656638,4.270412725632129e-91,3.5869331688947065e-88,AT3G55920,NA,NA
AT3G04210.1,-1.4865648894518422,-0.7869605460717383,6.517895088102968,392.91334649243055,4.7857595659495986e-86,3.828379759447015e-83,AT3G04210,TN13,"NA"
AT5G02810.1,2.5895012246764137,-1.3324081689930152,6.109028322204742,385.4525925785991,1.9954139492975784e-84,1.5236799515568192e-81,AT5G02810,APRR7;PRR7,NA;pseudo-response regulator 7
AT1G43800.1,-2.4269194785185926,-0.6563321004812979,6.9235112695372,381.5017050990933,1.4386571862174454e-83,1.0507826987507334e-80,AT1G43800,AAD6;FTM1;SAD6,ACYL?ACYL CARRIER PROTEIN (ACP) DESATURASE 6;FLORAL TRANSITION AT THE MERISTEM1;STEAROYL-ACYL CARRIER PROTEIN &#916;9-DESATURASE6
AT3G22235.1,-4.417360811427202,1.0075170257093327,7.849537834827358,379.875841105202,3.24346488033048e-83,2.2702902718613224e-80,AT3G22235,AthCYSTM8,Cysteine-Rich Transmembrane Module 8
AT1G07400.1,-6.603794585083439,7.019395799966742,5.405891137435681,376.7476902306347,1.5498102594723455e-82,1.0414105019550373e-79,AT1G07400,NA,NA
AT5G45820.1,6.162542853242466,-2.159262993555502,2.7370939289250593,372.54279330643965,1.268703964863017e-81,8.197291502205317e-79,AT5G45820,CIPK20;PKS18;SnRK3.6,CBL-interacting protein kinase 20;PROTEIN KINASE 18;SNF1-RELATED PROTEIN KINASE 3.6
