genes,logFC.genotypenpr1.1,logFC.genotypenpr1.1.treatmenttreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT2G14560.1,-4.195978941435965,-0.7195536873464536,6.69021640915796,1299.9271064371349,5.301703047965392e-283,1.7814782581773312e-278,AT2G14560,LURP1,LATE UPREGULATED IN RESPONSE TO HYALOPERONOSPORA PARASITICA
AT5G35935.1,3.255884026591241,0.530338649571932,4.762941215287427,1000.3562016004443,5.962259216844186e-218,1.0017191710219917e-213,AT5G35935,NA,NA
AT1G21250.1,-2.018387577046764,-0.47456395480883673,7.192089265412023,628.932658979509,2.6853961270471424e-137,3.0078226887012693e-133,AT1G21250,AtWAK1;PRO25;WAK1,NA;NA;cell wall-associated kinase 1
AT1G35710.1,-2.258420993174691,-0.5109808084872667,7.509790487009673,619.61535482966,2.832926112124501e-135,2.379799580490187e-131,AT1G35710,NA,NA
AT3G02550.1,-3.15932421428383,0.8883769177163526,5.327596747325308,618.3196094748826,5.415053805342297e-135,3.639132759342237e-131,AT3G02550,LBD41,LOB domain-containing protein 41
AT5G12030.1,-0.21244920144860388,-6.718642258140474,3.892456557606553,606.8565454278519,1.6702270266453185e-132,9.353828091555999e-129,AT5G12030,AT-HSP17.6A;HSP17.6;HSP17.6A,heat shock protein 17.6A;HEAT SHOCK PROTEIN 17.6;heat shock protein 17.6A
AT2G34430.1,2.2205149689460493,1.9507525053956631,9.214442689232333,571.5386825462288,7.797439036588001e-125,3.7429935215347146e-121,AT2G34430,LHB1B1;LHCB1.4,light-harvesting chlorophyll-protein complex II subunit B1;LIGHT-HARVESTING CHLOROPHYLL-PROTEIN COMPLEX II SUBUNIT B1
AT5G54270.1,1.8226883196999528,1.8326159908120148,9.402427463313492,570.1815867111147,1.5368858222753482e-124,6.455304675012031e-121,AT5G54270,LHCB3;LHCB3*1,light-harvesting chlorophyll B-binding protein 3;NA
AT1G13470.1,-3.6460848100802603,-1.5181706072044099,3.3677794080679115,565.1299281610554,1.921300609982845e-123,7.173282566293729e-120,AT1G13470,NA,NA
AT5G12020.1,1.4937500299688194e-4,-7.962858400142375,3.768551701090657,546.24969738502,2.4176049832712863e-119,8.123636264788176e-116,AT5G12020,HSP17.6II,17.6 kDa class II heat shock protein
AT5G22570.1,-2.016965202199532,-3.4756540543994308,4.18839392692568,544.2655476326473,6.519855740266409e-119,1.991638114403926e-115,AT5G22570,ATWRKY38;WRKY38,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 38;WRKY DNA-binding protein 38
AT2G05100.1,2.415135025716798,1.5868391007386426,7.046706216897155,530.9847844194987,4.990212916846866e-116,1.3973427869324032e-112,AT2G05100,LHCB2;LHCB2.1,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.1
AT3G42820.1,8.434593974202269,-0.4283346056853475,1.6159813716729265,519.5448378880982,1.521499808174131e-113,3.932725888789781e-110,AT3G42820,NA,NA
AT5G03350.1,-3.100044764329558,-1.3608918322886896,6.492791875323041,479.3343019004016,8.201227303047758e-105,1.9684117131215056e-101,AT5G03350,NA,NA
AT2G05070.1,2.2565151992612726,1.7774702453808808,7.289827517220336,465.274604415486,9.266236199421492e-102,2.0757604584864063e-98,AT2G05070,LHCB2;LHCB2.2,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.2
AT3G10040.1,-3.1739607475569716,1.2540661242789106,5.190161137512508,458.374307157779,2.919334620187323e-100,6.130967619220902e-97,AT3G10040,HRA1,HYPOXIA RESPONSE ATTENUATOR1
AT4G33560.1,-3.3571297227506554,0.8838807707043514,5.417656454124422,438.6628741476704,5.5663071987416864e-96,1.1002297323065772e-92,AT4G33560,NA,NA
AT3G54500.3,1.6130778326255149,0.7862909480353032,4.037234446746071,436.4737511673313,1.6631414450927162e-95,3.104715491000303e-92,AT3G54500,LNK2,night light-inducible and clock-regulated 2
AT5G24470.1,1.0816164021146757,1.3582016520260054,5.776133144634535,428.7976638421441,7.722721442446208e-94,1.3657836100477763e-90,AT5G24470,APRR5;PRR5,pseudo-response regulator 5;pseudo-response regulator 5
AT3G55920.1,-4.832063939430236,-0.16971701960631677,1.9796432606767085,421.2640406098352,3.3394571055703016e-92,5.6106218830686636e-89,AT3G55920,NA,NA
AT1G07400.1,0.4069636658292817,-7.00652975443468,5.403046190562086,415.76366418246846,5.224773100800968e-91,8.360134558719721e-88,AT1G07400,NA,NA
AT3G22235.1,-3.418217139759197,-0.9940101775882457,7.848775004377763,401.6975059249865,5.922361201513521e-88,9.045599140602606e-85,AT3G22235,AthCYSTM8,Cysteine-Rich Transmembrane Module 8
AT1G43800.1,-3.0913112252955908,0.6705384440540042,6.924136216105693,401.394464546892,6.891273561970167e-88,1.0067851053448763e-84,AT1G43800,AAD6;FTM1;SAD6,ACYL?ACYL CARRIER PROTEIN (ACP) DESATURASE 6;FLORAL TRANSITION AT THE MERISTEM1;STEAROYL-ACYL CARRIER PROTEIN &#916;9-DESATURASE6
AT5G45820.1,3.9918531759026394,2.173344627327591,2.736512022946486,398.962039218709,2.3253800339109048e-87,3.255725829144759e-84,AT5G45820,CIPK20;PKS18;SnRK3.6,CBL-interacting protein kinase 20;PROTEIN KINASE 18;SNF1-RELATED PROTEIN KINASE 3.6
AT1G29920.1,2.3830358069045934,3.0549297279582537,8.056814512053268,388.9467987662721,3.477569121363076e-85,4.674131104641683e-82,AT1G29920,AB165;CAB2;LHCB1.1,NA;chlorophyll A/B-binding protein 2;LIGHT HARVESTING CHLOROPHYLL A/B-BINDING PROTEIN 1.1
AT3G04210.1,-2.2817076293512697,0.8007114879569859,6.517736496126786,377.14959953310677,1.2676665635804614e-82,1.6383127642088717e-79,AT3G04210,TN13,"NA"
AT5G02810.1,1.2488841574576164,1.3462856967490326,6.108935709421494,377.0583962130013,1.3268125926128672e-82,1.65124284211028e-79,AT5G02810,APRR7;PRR7,NA;pseudo-response regulator 7
AT1G29910.1,1.714278378328494,1.4216382662084994,10.062570742071513,369.286061204253,6.464734411407664e-81,7.75814306043287e-78,AT1G29910,AB180;CAB3;LHCB1.2,NA;chlorophyll A/B binding protein 3;LIGHT HARVESTING CHLOROPHYLL A/B BINDING PROTEIN 1.2
AT2G40750.1,-1.1852230185476487,-2.437980324922177,5.5410674821322425,364.5341607594927,6.956851906774936e-80,8.0608323369466e-77,AT2G40750,ATWRKY54;WRKY54,WRKY DNA-BINDING PROTEIN 54;WRKY DNA-binding protein 54
AT5G28335.1,3.8834652407576162,0.12421205220751504,2.355329887553238,363.5893867257365,1.1157524090564819e-79,1.2497170816371968e-76,AT5G28335,NA,NA
AT4G24110.1,-3.0603184494804196,0.8663151483135282,4.569759293763461,362.13174398401316,2.3125489425421458e-79,2.5066538570097156e-76,AT4G24110,NA,NA
AT3G22231.1,-3.9569468252094686,-1.3677767575873536,8.30108763252631,360.9271459793989,4.2234374447043126e-79,4.434873281779822e-76,AT3G22231,PCC1,PATHOGEN AND CIRCADIAN CONTROLLED 1
AT3G21720.1,-2.7076846136846275,0.2520359084858866,3.7246403500925367,357.6621709988443,2.160958242511535e-78,2.200379359541594e-75,AT3G21720,ICL,isocitrate lyase
AT1G53480.1,-4.946709425837931,-1.4556193946485285,1.9978823385304914,350.3112550035007,8.528595201553208e-77,8.428760469487968e-74,AT1G53480,ATMRD1;MRD1,ARABIDOPSIS MTO 1 RESPONDING DOWN 1;MTO 1 RESPONDING DOWN 1
AT3G28510.1,-0.09962412156220375,-3.3032961960385046,3.356334384068938,346.44929608549114,5.881542308037473e-76,5.6466167038478617e-73,AT3G28510,NA,NA
AT3G27690.1,1.8720167685701399,1.6550591391660157,5.605377117769098,337.2747174136298,5.7773099902669826e-74,5.392476952581976e-71,AT3G27690,LHCB2;LHCB2.3;LHCB2.4,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.3;NA
